"Site","gseason","grow_season","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg"
"Mackenzie Junction","Winter (Oct-Apr)","min",-34.99,-40.82,-27.27,0,899.97,43.25,-38.5,0,270.02,0,2.17
"Mackenzie Junction","Winter (Oct-Apr)","obs_na",0,0,0,213,0,0,0,0,7,0,43
"McDonnel","Summer (May-Sep)","mean",12.34,6.22,18.86,1.2,906.21,76.99,7.78,0.23,25.7,5.12,183.46
"McDonnel","Summer (May-Sep)","max",19.88,12.87,30.75,15.6,914.68,92.93,11.34,0.9,79.03,9.56,327.75
"McDonnel","Summer (May-Sep)","min",5.63,0.47,9.93,0,897.8,56.52,3.34,0,288.15,2.52,69.84
"McDonnel","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Middlefork Creek","Summer (May-Sep)","mean",9.1,-0.68,17.34,2.62,901.22,74.22,3.32,1.07,4.66,7.37,194.88
"Middlefork Creek","Summer (May-Sep)","max",23.89,13.55,36.5,94.2,921.05,100,15.38,4.37,89.97,18.18,384.94
"Middlefork Creek","Summer (May-Sep)","min",-8.05,-19.49,-3.93,0,876.87,33.17,-15.02,0,270.05,3.02,10.71
"Middlefork Creek","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Middlefork Creek","Winter (Oct-Apr)","mean",-11.04,-19.53,-2.84,0.25,898.46,78.92,-14.56,1.01,354.73,5.87,71.08
"Middlefork Creek","Winter (Oct-Apr)","max",12.01,2.66,25.17,10.6,929.74,100,5.11,4.94,89.97,18.74,307.33
"Middlefork Creek","Winter (Oct-Apr)","min",-46.5,-53.55,-37.96,0,868.99,38.15,-51.27,0,270.07,0,2.69
"Middlefork Creek","Winter (Oct-Apr)","obs_na",0,0,0,0,3,0,0,0,0,0,8
"Mt Edziza","Summer (May-Sep)","mean",5.26,2.51,8.37,2.1,831.27,82.45,2.07,2.62,NA,10.86,146.67
"Mt Edziza","Summer (May-Sep)","max",19.06,15.63,25.02,17.6,847.4,100,9.7,12.1,-Inf,25.89,346.25
"Mt Edziza","Summer (May-Sep)","min",-3.46,-6.33,-2.22,0,811.07,33.1,-6.88,0,Inf,0,21.23
"Mt Edziza","Summer (May-Sep)","obs_na",0,0,0,345,76,0,0,0,401,0,227
